regulator,p_adj,n_overlap,overlap_genes
TNFSF10,1.850002561560714e-30,36,"BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GPX2,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RGCC,RSAD2,S100A4,SLC40A1,TIMP1,TRIM21,UBE2L6,USP18"
IFNL3,5.640124312452267e-28,25,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TRIM69,USP18"
IFNL1,1.5845337390315494e-27,26,"BST2,CMPK2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,TRIM21,USP18"
IFNL2,2.9166243329642458e-25,23,"BST2,CMPK2,DDX60,HERC5,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TRIM21,USP18"
CXCL11,8.993222098178777e-25,31,"BST2,CARD16,CFB,CMPK2,DDX60,DKK1,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,S100A4,TIMP1,TRIM21,UBE2L6,USP18"
IFNA1,8.993222098178777e-25,35,"BST2,CFB,CMPK2,DDX60,DKK1,GAST,GPX2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,PNPT1,RSAD2,S100A4,TIMP1,TRIM21,TRIM69,UBE2L6,USP18"
IFNK,1.7782593152277607e-24,21,"BST2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,TRIM21,UBE2L6,USP18"
TNFSF13B,2.6451980192092206e-24,33,"BST2,CARD16,CFB,CMPK2,DDX60,DKK1,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,S100A4,TIMP1,TRIM21,TRIM69,UBE2L6,USP18"
CXCL10,5.797736361907957e-24,35,"ADAMTS1,BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GPX2,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,S100A4,TIMP1,TRIM21,UBE2L6,USP18"
IFNA2,8.424936187265521e-24,28,"BST2,CMPK2,DDX60,GAST,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,TIMP1,TRIM21,UBE2L6,USP18"
